HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.003 | alpha = 1.51 | Tmax = 0.420939
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.207350
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.27 | Tmax = 0.326933
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = 0.575440
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 0.070 | alpha = 1.03 | Tmax = 0.224715
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.070 | alpha = 1.36 | Tmax = 0.102615
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.37 | Tmax = 1.034877
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.36 | Tmax = 1.598367
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.100 | alpha = 1.35 | Tmax = 0.092145
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = Inf
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.050 | alpha = 1.38 | Tmax = 0.361529
 HL = 10.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.33 | Tmax = Inf
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.324997
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = Inf
 HL = 7.000 | t1//t0 = 20.000 | l1//l0 = 0.007 | alpha = 1.48 | Tmax = 1.314382
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.007 | alpha = 1.36 | Tmax = 0.242531
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.050 | alpha = 1.49 | Tmax = 1.045204
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 1.086165
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 0.114855
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.30 | Tmax = 0.319527
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.030 | alpha = 1.25 | Tmax = 0.130340
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 1.095067
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.25 | Tmax = 0.131082
 HL = 0.200 | t1//t0 = 80.000 | l1//l0 = 0.010 | alpha = 1.28 | Tmax = 0.262610
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 0.432697
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.100 | alpha = 1.27 | Tmax = 0.389838
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 1.293225
 HL = 7.000 | t1//t0 = 30.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 1.381515
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = Inf
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.32 | Tmax = 0.104067
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.050 | alpha = 1.20 | Tmax = 0.149735
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = Inf
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.050 | alpha = 1.40 | Tmax = 0.090701
 HL = 2.000 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.34 | Tmax = 0.207600
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.007 | alpha = 1.28 | Tmax = 0.155128
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.110014
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.30 | Tmax = 0.166999
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.020 | alpha = 1.37 | Tmax = 0.086133
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.005 | alpha = 1.22 | Tmax = 0.194227
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.32 | Tmax = 0.168926
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.010 | alpha = 1.40 | Tmax = 1.816541
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.100 | alpha = 1.41 | Tmax = 0.090950
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.050 | alpha = 1.36 | Tmax = 0.088531
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.003 | alpha = 1.38 | Tmax = 0.439532
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.020 | alpha = 1.30 | Tmax = 0.110724
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.26 | Tmax = 0.164470
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.34 | Tmax = 0.089303
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.007 | alpha = 1.30 | Tmax = 0.371608
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.003 | alpha = 1.42 | Tmax = 0.087999
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.27 | Tmax = 0.333088
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.36 | Tmax = 0.112290
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.25 | Tmax = 0.135566
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.33 | Tmax = 0.099830
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.020 | alpha = 1.41 | Tmax = 1.078368
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.46 | Tmax = 1.213125
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.33 | Tmax = 0.097115
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.010 | alpha = 1.40 | Tmax = 0.240627
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.37 | Tmax = 1.157526
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.050 | alpha = 1.24 | Tmax = 0.386461
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.030 | alpha = 1.43 | Tmax = 0.179833
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.030 | alpha = 1.29 | Tmax = 0.146293
 HL = 7.000 | t1//t0 = 40.000 | l1//l0 = 0.007 | alpha = 1.50 | Tmax = 1.541569
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.005 | alpha = 1.36 | Tmax = 0.232565
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.070 | alpha = 1.46 | Tmax = 2.215340
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.25 | Tmax = 0.391930
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.005 | alpha = 1.28 | Tmax = 0.151500
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.29 | Tmax = 0.338068
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.42 | Tmax = 1.599624
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.30 | Tmax = 0.167896
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.020 | alpha = 1.38 | Tmax = 0.261800
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.35 | Tmax = 0.086994
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.27 | Tmax = 0.370437
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.23 | Tmax = 0.144860
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.050 | alpha = 1.34 | Tmax = 0.157084
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.25 | Tmax = 0.119905
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.43 | Tmax = 0.106926
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.003 | alpha = 1.27 | Tmax = 0.142081
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.34 | Tmax = 0.096090
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.070 | alpha = 1.00 | Tmax = 0.134761
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.157239
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.165804
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.007 | alpha = 1.44 | Tmax = 0.158291
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.38 | Tmax = 1.094719
 HL = 0.200 | t1//t0 = 80.000 | l1//l0 = 0.007 | alpha = 1.26 | Tmax = 0.241948
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.030 | alpha = 1.13 | Tmax = 0.182245
 HL = 10.000 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.48 | Tmax = 1.678117
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.105702
 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 0.001 | alpha = 1.54 | Tmax = 0.097139
 HL = 5.000 | t1//t0 = 100.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = Inf
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.20 | Tmax = 0.163043
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.020 | alpha = 1.35 | Tmax = 0.140254
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.030 | alpha = 1.31 | Tmax = 0.131876
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.003 | alpha = 1.21 | Tmax = 0.163616
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.29 | Tmax = 0.173473
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.29 | Tmax = 0.204588
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.39 | Tmax = 0.193846
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.37 | Tmax = 1.125574
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.020 | alpha = 1.32 | Tmax = 0.116779
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.46 | Tmax = 0.161782
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.49 | Tmax = 0.526766
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 0.100 | alpha = 1.19 | Tmax = 0.148081
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.36 | Tmax = 0.087863
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.27 | Tmax = 0.095732
 HL = 0.500 | t1//t0 = 20.000 | l1//l0 = 0.010 | alpha = 1.27 | Tmax = 0.147092
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.35 | Tmax = 0.089688
 HL = 0.500 | t1//t0 = 60.000 | l1//l0 = 0.002 | alpha = 1.40 | Tmax = 0.127263
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.41 | Tmax = 0.194341
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 0.050 | alpha = 1.20 | Tmax = 0.133047
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.030 | alpha = 1.36 | Tmax = 0.091455
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.23 | Tmax = 0.161148
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.33 | Tmax = 1.260433
 HL = 5.000 | t1//t0 = 40.000 | l1//l0 = 0.002 | alpha = 1.50 | Tmax = 0.996116
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.010 | alpha = 1.35 | Tmax = 0.311423
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.003 | alpha = 1.46 | Tmax = 0.770557
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.21 | Tmax = 0.150392
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.005 | alpha = 1.52 | Tmax = 1.386945
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.020 | alpha = 1.46 | Tmax = 0.090454
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.41 | Tmax = 0.090812
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.020 | alpha = 1.21 | Tmax = 0.532906
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.34 | Tmax = 0.100394
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.36 | Tmax = 0.258372
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.40 | Tmax = 0.088042
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.020 | alpha = 1.50 | Tmax = 0.046554
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.070 | alpha = 1.42 | Tmax = 0.987677
 HL = 2.000 | t1//t0 = 50.000 | l1//l0 = 0.007 | alpha = 1.52 | Tmax = 0.160960
 HL = 10.000 | t1//t0 = 40.000 | l1//l0 = 0.010 | alpha = 1.52 | Tmax = 2.115578
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.050 | alpha = 1.43 | Tmax = 0.080885
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.46 | Tmax = 0.075364
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.39 | Tmax = 0.087222
 HL = 5.000 | t1//t0 = 70.000 | l1//l0 = 0.030 | alpha = 1.51 | Tmax = 0.789753
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 1.133149
 HL = 7.000 | t1//t0 = 30.000 | l1//l0 = 0.010 | alpha = 1.52 | Tmax = 0.967627
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.070 | alpha = 1.44 | Tmax = 0.809194
 HL = 7.000 | t1//t0 = 90.000 | l1//l0 = 0.030 | alpha = 1.55 | Tmax = 0.583695
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.050 | alpha = 1.44 | Tmax = 0.076182
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.40 | Tmax = 0.086564
 HL = 1.000 | t1//t0 = 100.000 | l1//l0 = 0.050 | alpha = 1.38 | Tmax = 0.121354
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.030 | alpha = 1.41 | Tmax = 0.281522
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.40 | Tmax = 1.737825
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.53 | Tmax = 0.136487
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 0.050 | alpha = 1.47 | Tmax = 0.106905
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.52 | Tmax = 1.278576
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.40 | Tmax = 1.685009
 HL = 0.500 | t1//t0 = 60.000 | l1//l0 = 0.007 | alpha = 1.37 | Tmax = 0.123145
 HL = 7.000 | t1//t0 = 70.000 | l1//l0 = 0.100 | alpha = 1.41 | Tmax = Inf
 HL = 7.000 | t1//t0 = 50.000 | l1//l0 = 0.007 | alpha = 1.52 | Tmax = 1.564340
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 0.020 | alpha = 1.55 | Tmax = 0.052069
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.050 | alpha = 1.41 | Tmax = 0.313904
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.50 | Tmax = 0.366432
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 0.286852
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.050 | alpha = 1.43 | Tmax = 0.276976
 HL = 15.000 | t1//t0 = 70.000 | l1//l0 = 0.100 | alpha = 1.55 | Tmax = 1.147367
 HL = 2.000 | t1//t0 = 70.000 | l1//l0 = 0.100 | alpha = 1.46 | Tmax = 0.113575
 HL = 7.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 1.596199
 HL = 0.500 | t1//t0 = 220.000 | l1//l0 = 0.030 | alpha = 1.08 | Tmax = 0.168223
 HL = 0.200 | t1//t0 = 100.000 | l1//l0 = 0.003 | alpha = 1.42 | Tmax = 0.104889
 HL = 0.500 | t1//t0 = 60.000 | l1//l0 = 0.007 | alpha = 1.40 | Tmax = 0.120671
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.005 | alpha = 1.38 | Tmax = 0.238770
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 1.601281
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.005 | alpha = 1.24 | Tmax = 0.399432
 HL = 7.000 | t1//t0 = 60.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = Inf
 HL = 7.000 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = Inf
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.003 | alpha = 1.39 | Tmax = 0.082244
